GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
PRKAR2A-AS1	0.009	0.008	0.01	0.877	-0.189	0.06	NoDiff
PRKCD	0.58	0.562	0.605	0.932	-0.102	0	NoDiff
PRKCE	0.054	0.056	0.051	1.106	0.145	0.025	NoDiff
PRKCI	0.109	0.113	0.103	1.105	0.144	0	NoDiff
PRKCZ	0.073	0.083	0.057	1.461	0.547	0.447	NoDiff
PRKD3	0.1	0.076	0.134	0.567	-0.819	0.99	GM18502+
PRKRA	0.74	0.744	0.736	1.011	0.016	0	NoDiff
PRMT6	0.112	0.097	0.134	0.719	-0.477	0.241	NoDiff
PROX1	0.001	0.001	0.001	1.507	0.592	1	GM12878+
PRPF3	0.15	0.153	0.146	1.05	0.07	0	NoDiff
PRPF38A	1.113	0.996	1.28	0.779	-0.36	0	NoDiff
PRPF38B	1.301	1.274	1.339	0.955	-0.067	0	NoDiff
PRPF40A	1.717	1.699	1.742	0.973	-0.04	0	NoDiff
PRRC2C	2.409	2.294	2.571	0.894	-0.161	0	NoDiff
PRRT3	0.128	0.111	0.153	0.726	-0.463	0.126	NoDiff
PRRT3-AS1	0.008	0.01	0.005	2.024	1.017	0.884	NoDiff
PRRX1	0.006	0.008	0.002	3.999	2	0.794	NoDiff
PRSS50	0.002	0.001	0.003	0.323	-1.629	0.819	NoDiff
PRUNE	0.062	0.07	0.051	1.369	0.453	0.256	NoDiff
PSD4	0.319	0.273	0.384	0.71	-0.494	0.035	NoDiff
PSEN2	0.095	0.112	0.071	1.57	0.651	0.754	NoDiff
PSMA5	2.515	2.55	2.464	1.035	0.05	0	NoDiff
PSMB2	3.085	2.938	3.294	0.895	-0.16	0	NoDiff
PSMB4	2.066	2.149	1.947	1.099	0.136	0	NoDiff
PSMD1	0.511	0.507	0.517	0.976	-0.035	0	NoDiff
PSMD14	1.111	1.076	1.16	0.932	-0.101	0	NoDiff
PSMD2	1.191	1.185	1.2	0.985	-0.021	0	NoDiff
PSMD4	2.43	2.41	2.458	0.974	-0.038	0	NoDiff
PSMD6	0.959	0.953	0.967	0.985	-0.022	0	NoDiff
PSMD6-AS2	0.01	0.009	0.011	0.884	-0.178	0.05	NoDiff
PSME4	0.22	0.234	0.2	1.177	0.235	0	NoDiff
PSRC1	0.009	0.008	0.011	0.767	-0.383	0.246	NoDiff
PTAFR	0.285	0.103	0.545	0.187	-2.416	1	GM18502+
PTBP2	0.031	0.026	0.037	0.702	-0.51	0.291	NoDiff
PTCD3	0.389	0.39	0.387	1	0.001	0	NoDiff
PTCH2	0.021	0.015	0.029	0.501	-0.997	0.985	GM18502+
PTMA	46.264	40.371	54.668	0.735	-0.443	0	NoDiff
PTP4A2	2.786	2.689	2.924	0.923	-0.115	0	NoDiff
PTPN13	0.007	0.007	0.006	1.209	0.273	0.236	NoDiff
PTPN14	0.007	0.008	0.006	1.297	0.375	0.256	NoDiff
PTPN18	0.858	0.862	0.851	1.011	0.015	0	NoDiff
PTPN22	0.529	0.588	0.445	1.329	0.41	0	NoDiff
PTPN23	0.07	0.076	0.062	1.221	0.288	0.01	NoDiff
PTPN4	0.179	0.176	0.185	0.949	-0.075	0	NoDiff
PTPN7	1.045	0.89	1.266	0.701	-0.512	0.04	NoDiff
PTPRC	1.501	1.332	1.743	0.768	-0.38	0	NoDiff
PTPRF	0.004	0.004	0.003	1.22	0.287	0.286	NoDiff
PTPRG	0.003	0.003	0.002	1.569	0.65	0.548	NoDiff
PTPRU	0.004	0.005	0.002	2.234	1.159	0.839	NoDiff
PTRHD1	2.224	2.348	2.047	1.154	0.207	0	NoDiff
PUM1	0.308	0.303	0.314	0.966	-0.05	0	NoDiff
PUM2	0.167	0.168	0.166	1.013	0.019	0	NoDiff
PUS10	0.12	0.133	0.102	1.307	0.386	0.201	NoDiff
PUSL1	0.215	0.227	0.198	1.145	0.195	0	NoDiff
PVRL4	0.012	0.011	0.012	0.937	-0.094	0.342	NoDiff
PXK	0.171	0.15	0.201	0.744	-0.427	0.03	NoDiff
PXYLP1	0.004	0.004	0.004	1.035	0.05	0.151	NoDiff
PYCR2	0.565	0.554	0.582	0.947	-0.078	0	NoDiff
PYGO2	0.127	0.119	0.137	0.868	-0.204	0.101	NoDiff
PYHIN1	0.008	0.012	0.003	4.415	2.143	1	GM12878+
PYURF	2.511	2.644	2.32	1.136	0.184	0	NoDiff
QARS	2.646	2.707	2.558	1.06	0.085	0	NoDiff
QDPR	0.489	0.39	0.629	0.621	-0.688	0.995	GM18502+
QPCT	0.007	0.006	0.01	0.625	-0.678	0.618	NoDiff
QRICH1	0.232	0.252	0.204	1.241	0.312	0	NoDiff
QSOX1	0.116	0.113	0.122	0.918	-0.123	0	NoDiff
QTRTD1	0.125	0.114	0.141	0.807	-0.31	0.025	NoDiff
R3HDM1	0.348	0.326	0.38	0.858	-0.221	0	NoDiff
RAB10	0.987	0.926	1.075	0.864	-0.211	0	NoDiff
RAB13	1.31	0.956	1.816	0.527	-0.925	1	GM18502+
RAB1A	1.671	1.87	1.389	1.339	0.422	0	NoDiff
RAB28	0.26	0.257	0.264	0.98	-0.029	0	NoDiff
RAB29	0.62	0.65	0.578	1.123	0.167	0	NoDiff
RAB3B	0.011	0.012	0.01	1.252	0.324	0.191	NoDiff
RAB3GAP1	0.227	0.24	0.209	1.149	0.201	0	NoDiff
RAB3GAP2	0.301	0.274	0.34	0.803	-0.316	0	NoDiff
RAB42	0.008	0.005	0.014	0.334	-1.58	1	GM18502+
RAB43	0.003	0.003	0.002	1.487	0.573	0.513	NoDiff
RAB4A	1.311	1.198	1.473	0.813	-0.299	0	NoDiff
RAB5A	0.416	0.43	0.397	1.082	0.114	0	NoDiff
RAB6B	0.014	0.01	0.02	0.527	-0.925	0.915	NoDiff
RAB7A	1.837	1.754	1.956	0.901	-0.15	0	NoDiff
RABGAP1L	1.007	1.073	0.912	1.175	0.233	0	NoDiff
RABGGTB	0.768	0.704	0.859	0.819	-0.289	0	NoDiff
RABIF	0.547	0.568	0.516	1.097	0.134	0	NoDiff
RABL2A	0.06	0.065	0.052	1.25	0.322	0.045	NoDiff
RABL3	0.163	0.147	0.184	0.798	-0.326	0	NoDiff
RAD18	0.076	0.066	0.092	0.71	-0.495	0.261	NoDiff
RAD54L	0.018	0.014	0.025	0.555	-0.849	0.869	NoDiff
RAD54L2	0.156	0.144	0.174	0.828	-0.272	0	NoDiff
RAF1	0.584	0.604	0.556	1.087	0.12	0	NoDiff
RALB	0.322	0.311	0.337	0.921	-0.119	0	NoDiff
RALGPS2	0.199	0.28	0.083	3.358	1.748	1	GM12878+
RAMP1	0.049	0.006	0.11	0.06	-4.07	0.995	GM18502+
RANBP2	0.325	0.343	0.299	1.147	0.198	0	NoDiff
RAP1A	3.016	2.884	3.204	0.894	-0.161	0	NoDiff
RAP1GAP	0.002	0.002	0.003	0.778	-0.363	0.352	NoDiff
RAP1GDS1	0.248	0.236	0.264	0.897	-0.156	0	NoDiff
RAP2B	0.255	0.267	0.238	1.111	0.152	0	NoDiff
RAPH1	0.002	0.001	0.003	0.213	-2.232	1	GM18502+
RARRES1	0.002	0.002	0.002	0.846	-0.241	0.382	NoDiff
RASA2	0.125	0.14	0.104	1.346	0.429	0.04	NoDiff
RASAL2	0.002	0.002	0.002	1.034	0.048	0.256	NoDiff
RASGEF1B	0.005	0.004	0.006	0.674	-0.57	0.477	NoDiff
RASGRP3	1.653	1.682	1.612	1.046	0.065	0	NoDiff
RASL11B	0.002	0.002	0.002	1.235	0.304	0.402	NoDiff
RASSF1	0.223	0.205	0.248	0.825	-0.277	0	NoDiff
RASSF1-AS1	0.038	0.038	0.038	0.984	-0.023	0.005	NoDiff
RASSF5	0.559	0.468	0.689	0.68	-0.556	0.191	NoDiff
RASSF6	0.123	0.077	0.188	0.416	-1.264	1	GM18502+
RBBP4	1.025	1.093	0.929	1.173	0.23	0	NoDiff
RBBP5	0.152	0.164	0.135	1.206	0.27	0	NoDiff
RBKS	0.051	0.056	0.045	1.245	0.316	0.111	NoDiff
RBM15	0.094	0.088	0.104	0.846	-0.241	0.106	NoDiff
RBM15B	0.428	0.408	0.458	0.892	-0.164	0	NoDiff
RBM34	0.072	0.068	0.077	0.895	-0.161	0.005	NoDiff
RBM43	0.069	0.065	0.074	0.868	-0.205	0.121	NoDiff
RBM44	0.005	0.006	0.004	1.454	0.54	0.462	NoDiff
RBM45	0.141	0.156	0.121	1.289	0.367	0.116	NoDiff
RBM47	0.545	0.647	0.4	1.621	0.697	0.97	GM12878+
RBM5	0.493	0.525	0.448	1.168	0.224	0	NoDiff
RBM5-AS1	0.003	0.003	0.002	1.523	0.607	0.543	NoDiff
RBM6	0.771	0.776	0.764	1.008	0.012	0	NoDiff
RBM8A	3.049	2.868	3.308	0.867	-0.206	0	NoDiff
RBMS1	0.021	0.021	0.02	1.083	0.115	0.01	NoDiff
RBMS3	0.009	0.012	0.004	3.109	1.636	0.995	GM12878+
RBMXL1	0.118	0.11	0.129	0.845	-0.242	0.111	NoDiff
RBP1	0.008	0.003	0.016	0.172	-2.538	1	GM18502+
RBP7	0.001	0.002	0	6.146	2.62	1	GM12878+
RBPJ	0.749	0.73	0.776	0.942	-0.087	0	NoDiff
RBSN	0.076	0.079	0.073	1.066	0.092	0.05	NoDiff
RC3H1	0.109	0.111	0.107	1.028	0.039	0.06	NoDiff
RCAN3	0.024	0.022	0.027	0.812	-0.301	0.09	NoDiff
RCC1	0.37	0.281	0.496	0.567	-0.819	1	GM18502+
RCC2	0.308	0.272	0.36	0.758	-0.399	0.005	NoDiff
RCHY1	0.403	0.38	0.434	0.877	-0.189	0	NoDiff
RCOR3	0.161	0.164	0.158	1.03	0.043	0	NoDiff
RCSD1	1.509	1.546	1.457	1.059	0.083	0	NoDiff
RDH14	0.594	0.566	0.634	0.891	-0.166	0	NoDiff
REEP1	0.008	0.006	0.01	0.512	-0.966	0.879	NoDiff
REL	1.705	1.203	2.421	0.497	-1.01	1	GM18502+
RELL1	0.016	0.016	0.016	1.02	0.028	0.025	NoDiff
RER1	2.853	3.097	2.506	1.238	0.308	0	NoDiff
RERE	0.286	0.284	0.29	0.973	-0.04	0	NoDiff
REST	0.744	0.777	0.696	1.111	0.152	0	NoDiff
RETSAT	0.106	0.115	0.093	1.231	0.3	0.166	NoDiff
REV1	0.218	0.208	0.233	0.894	-0.162	0	NoDiff
RFC1	0.794	0.841	0.727	1.155	0.208	0	NoDiff
RFC4	0.178	0.144	0.228	0.63	-0.667	0.839	NoDiff
RFT1	0.284	0.282	0.287	0.986	-0.02	0	NoDiff
RFTN1	0.918	0.707	1.217	0.579	-0.788	1	GM18502+
RFWD2	0.32	0.32	0.321	0.995	-0.007	0	NoDiff
RFX5	0.566	0.529	0.62	0.857	-0.223	0	NoDiff
RGL1	0.08	0.082	0.077	1.066	0.092	0.106	NoDiff
RGPD5	0.007	0.005	0.01	0.472	-1.082	0.915	NoDiff
RGPD8	0.003	0.004	0.002	1.735	0.795	0.638	NoDiff
RGS1	0.9	0.806	1.035	0.779	-0.361	0.015	NoDiff
RGS12	0.01	0.013	0.007	1.884	0.914	0.829	NoDiff
RGS13	0.032	0.037	0.026	1.437	0.523	0.457	NoDiff
RGS16	0.68	0.641	0.736	0.874	-0.195	0	NoDiff
RGS2	0.04	0.037	0.045	0.832	-0.265	0.201	NoDiff
RGS5	0.016	0.017	0.015	1.105	0.144	0.03	NoDiff
RGS5.1	0.03	0.033	0.027	1.214	0.28	0.04	NoDiff
RHBDD1	0.145	0.17	0.108	1.569	0.65	0.769	NoDiff
RHBDL2	0.002	0.002	0.002	0.832	-0.265	0.332	NoDiff
RHBG	0.007	0.008	0.005	1.504	0.589	0.543	NoDiff
RHCE	0.006	0.008	0.004	1.873	0.905	0.774	NoDiff
RHOA	4.824	4.327	5.531	0.777	-0.364	0	NoDiff
RHOB	0.089	0.071	0.115	0.613	-0.707	0.834	NoDiff
RHOC	3.929	3.356	4.746	0.706	-0.501	0	NoDiff
RHOH	1.88	1.638	2.225	0.735	-0.445	0	NoDiff
RHOQ	0.677	0.808	0.491	1.638	0.712	0.98	GM12878+
RHOU	0.006	0.004	0.01	0.358	-1.48	1	GM18502+
RIF1	0.25	0.237	0.269	0.883	-0.18	0	NoDiff
RIMKLA	0.093	0.029	0.184	0.155	-2.69	1	GM18502+
RIMS3	0.006	0.005	0.007	0.664	-0.59	0.508	NoDiff
RIT1	0.215	0.218	0.209	1.043	0.061	0	NoDiff
RLF	0.098	0.087	0.115	0.764	-0.388	0.271	NoDiff
RMDN2	0.045	0.046	0.045	1.024	0.034	0.04	NoDiff
RMND5A	0.247	0.232	0.269	0.858	-0.22	0	NoDiff
RN7SL832P	0.037	0.04	0.033	1.243	0.314	0.116	NoDiff
RNASEH1	0.953	0.953	0.952	1.002	0.003	0	NoDiff
RNASEH1-AS1	0.203	0.219	0.18	1.222	0.29	0.005	NoDiff
RNASEL	0.035	0.037	0.033	1.102	0.14	0	NoDiff
RNF103	0.192	0.237	0.128	1.856	0.892	1	GM12878+
RNF11	0.403	0.415	0.386	1.072	0.101	0	NoDiff
RNF115	0.778	0.779	0.776	1.006	0.008	0	NoDiff
RNF123	0.056	0.054	0.059	0.948	-0.077	0.111	NoDiff
RNF13	0.536	0.607	0.435	1.395	0.48	0.015	NoDiff
RNF144A	0.019	0.014	0.025	0.552	-0.858	0.849	NoDiff
RNF149	0.297	0.309	0.28	1.107	0.146	0	NoDiff
RNF168	0.558	0.575	0.535	1.076	0.106	0	NoDiff
RNF181	2.677	2.699	2.647	1.015	0.021	0	NoDiff
RNF187	0.293	0.265	0.332	0.793	-0.335	0	NoDiff
RNF19B	0.045	0.046	0.043	1.069	0.096	0.055	NoDiff
RNF2	0.164	0.151	0.183	0.825	-0.277	0	NoDiff
RNF207	0.085	0.069	0.109	0.636	-0.652	0.744	NoDiff
RNF220	0.306	0.289	0.33	0.882	-0.181	0	NoDiff
RNF223	0.003	0.003	0.002	1.636	0.71	0.628	NoDiff
RNF25	0.111	0.12	0.098	1.233	0.302	0.136	NoDiff
RNF4	0.449	0.43	0.477	0.9	-0.152	0	NoDiff
RNF7	3.49	3.203	3.898	0.819	-0.287	0	NoDiff
RNPC3	0.179	0.195	0.156	1.234	0.303	0	NoDiff
RNPEP	0.49	0.461	0.531	0.867	-0.206	0	NoDiff
RNPEPL1	0.239	0.257	0.212	1.215	0.281	0	NoDiff
RNU11	0.002	0	0.005	0.087	-3.516	1	GM18502+
ROBO1	0.026	0.037	0.01	3.723	1.897	1	GM12878+
ROCK2	0.147	0.15	0.144	1.036	0.051	0	NoDiff
RP1-118J21.25	0.005	0.006	0.002	2.704	1.435	0.91	NoDiff
RP1-120G22.11	0.004	0.004	0.004	1.126	0.171	0.281	NoDiff
RP1-140A9.1	0.006	0.007	0.004	1.877	0.909	0.804	NoDiff
RP1-150O5.3	0.004	0.003	0.004	0.843	-0.246	0.317	NoDiff
RP1-159A19.4	0.002	0.001	0.003	0.395	-1.34	0.764	NoDiff
RP1-178F15.4	0.016	0.022	0.007	3.36	1.748	1	GM12878+
RP1-187B23.1	0.007	0.005	0.011	0.44	-1.184	0.91	NoDiff
RP1-202O8.3	0.008	0.007	0.009	0.772	-0.374	0.266	NoDiff
RP1-206D15.6	0.002	0.001	0.003	0.304	-1.716	1	GM18502+
RP1-212P9.3	0.002	0.003	0.001	2.606	1.382	0.809	NoDiff
RP1-224A6.3	0.021	0.018	0.025	0.694	-0.528	0.342	NoDiff
RP1-28O10.1	0.011	0.014	0.007	2.11	1.077	0.95	NoDiff
RP1-317E23.3	0.01	0.01	0.01	1.065	0.091	0.04	NoDiff
RP1-39G22.7	0.141	0.117	0.175	0.671	-0.576	0.432	NoDiff
RP1-43E13.2	0.033	0.039	0.026	1.474	0.559	0.513	NoDiff
RP1-92O14.3	0.016	0.016	0.016	0.995	-0.008	0.015	NoDiff
RP11-101E13.5	0.006	0.006	0.006	0.93	-0.105	0.166	NoDiff
RP11-1020A11.2	0.004	0.005	0.003	1.462	0.548	0.472	NoDiff
RP11-102M11.2	0.003	0.002	0.003	0.846	-0.242	0.312	NoDiff
RP11-105N14.1	0.037	0.03	0.046	0.666	-0.587	0.573	NoDiff
RP11-107M16.2	0.001	0.001	0.002	0.329	-1.603	0.995	GM18502+
RP11-108M9.3	0.003	0	0.006	0.079	-3.663	1	GM18502+
RP11-108M9.4	0.02	0.009	0.036	0.25	-2	0.99	GM18502+
RP11-108M9.6	0.004	0.003	0.006	0.452	-1.144	0.869	NoDiff
RP11-109E24.2	0.003	0.002	0.003	0.863	-0.212	0.211	NoDiff
RP11-109G23.3	0.02	0.018	0.021	0.868	-0.205	0.015	NoDiff
RP11-10C24.1	0.007	0.008	0.005	1.687	0.755	0.698	NoDiff
RP11-10C24.2	0.003	0.003	0.002	1.585	0.664	0.558	NoDiff
RP11-10C24.3	0.01	0.01	0.011	0.873	-0.197	0.08	NoDiff
RP11-10L12.4	0.062	0.076	0.042	1.8	0.848	0.96	GM12878+
RP11-10L7.1	0.003	0.003	0.003	1.038	0.054	0.352	NoDiff
RP11-111H13.1	0.004	0.005	0.003	1.737	0.797	0.683	NoDiff
RP11-111J6.2	0.001	0.001	0	2.562	1.358	1	GM12878+
RP11-117D22.2	0.115	0.075	0.171	0.439	-1.188	1	GM18502+
RP11-1191J2.5	0.023	0.023	0.022	0.998	-0.003	0	NoDiff
RP11-11N7.4	0.003	0.003	0.003	0.981	-0.028	0.281	NoDiff
RP11-121C2.2	0.007	0.008	0.006	1.219	0.285	0.151	NoDiff
RP11-126K1.2	0.056	0.054	0.058	0.946	-0.081	0.216	NoDiff
RP11-126K1.6	0.096	0.091	0.103	0.891	-0.166	0.05	NoDiff
RP11-127B20.2	0.009	0.008	0.01	0.813	-0.298	0.146	NoDiff
RP11-127B20.3	0.047	0.045	0.05	0.895	-0.16	0	NoDiff
RP11-129K12.1	0.002	0.002	0.002	0.956	-0.065	0.332	NoDiff
RP11-12K22.1	0.006	0.009	0.002	4.358	2.124	1	GM12878+
RP11-130L8.1	0.004	0.005	0.002	2.274	1.185	0.874	NoDiff
RP11-131L23.1	0.008	0.008	0.009	0.839	-0.253	0.161	NoDiff
RP11-134G8.5	0.051	0.054	0.047	1.151	0.202	0.231	NoDiff
RP11-134G8.7	0.018	0.019	0.017	1.11	0.15	0.04	NoDiff
RP11-135A1.2	0.004	0.004	0.003	1.35	0.433	0.432	NoDiff
RP11-1398P2.1	0.007	0.005	0.011	0.428	-1.224	0.915	NoDiff
RP11-13J8.1	0.004	0.004	0.003	1.359	0.443	0.452	NoDiff
RP11-141B14.1	0.091	0.082	0.103	0.809	-0.306	0.211	NoDiff
RP11-145M9.5	0.002	0.003	0.002	1.163	0.218	0.322	NoDiff
RP11-148B18.1	0.008	0.008	0.008	1.024	0.034	0.07	NoDiff
RP11-14N7.2	0.092	0.088	0.098	0.881	-0.184	0.09	NoDiff
RP11-156E8.1	0.011	0.015	0.006	2.76	1.465	1	GM12878+
RP11-159G9.5	0.024	0.025	0.023	1.122	0.167	0.03	NoDiff
RP11-15B17.1	0.001	0.001	0.002	0.369	-1.439	0.97	GM18502+
RP11-15I11.3	0.002	0.002	0.001	3.302	1.723	1	GM12878+
RP11-160H22.5	0.037	0.031	0.044	0.704	-0.507	0.271	NoDiff
RP11-168O16.1	0.004	0.004	0.003	1.1	0.137	0.246	NoDiff
RP11-16N11.2	0.004	0.004	0.005	0.871	-0.198	0.281	NoDiff
RP11-171I2.2	0.005	0.006	0.004	1.362	0.445	0.377	NoDiff
RP11-171I2.4	0.004	0.004	0.004	1.104	0.143	0.307	NoDiff
RP11-171I2.5	0.006	0.005	0.008	0.718	-0.478	0.387	NoDiff
RP11-17E13.2	0.005	0.006	0.004	1.413	0.499	0.437	NoDiff
RP11-185E8.1	0.012	0.009	0.016	0.574	-0.8	0.779	NoDiff
RP11-188D8.1	0.008	0.008	0.008	1.008	0.011	0.05	NoDiff
RP11-18H7.1	0.013	0.011	0.015	0.746	-0.422	0.226	NoDiff
RP11-190C22.8	0.007	0.007	0.007	0.93	-0.105	0.126	NoDiff
RP11-190C22.9	0.005	0.005	0.005	0.886	-0.175	0.251	NoDiff
RP11-191G24.1	0.02	0.016	0.026	0.615	-0.702	0.709	NoDiff
RP11-191L17.1	0.012	0.013	0.011	1.172	0.229	0.075	NoDiff
RP11-195B17.1	0.005	0.005	0.005	1.151	0.203	0.206	NoDiff
RP11-195C7.1	0.004	0.004	0.003	1.528	0.612	0.533	NoDiff
RP11-196G18.23	0.013	0.007	0.022	0.334	-1.58	1	GM18502+
RP11-196G18.24	0.012	0.01	0.014	0.749	-0.417	0.261	NoDiff
RP11-204L24.2	0.016	0.02	0.01	1.994	0.996	0.93	NoDiff
RP11-206L10.9	0.04	0.042	0.036	1.177	0.235	0.045	NoDiff
RP11-20I20.4	0.005	0.005	0.004	1.314	0.393	0.377	NoDiff
RP11-214N9.1	0.037	0.04	0.033	1.209	0.273	0.055	NoDiff
RP11-219D15.3	0.002	0.002	0.002	1.173	0.231	0.211	NoDiff
RP11-230B22.1	0.006	0.009	0.002	3.722	1.896	0.849	NoDiff
RP11-231E6.1	0.004	0.002	0.008	0.357	-1.488	0.719	NoDiff
RP11-244H3.4	0.006	0.007	0.005	1.27	0.345	0.317	NoDiff
RP11-245G13.2	0.013	0.001	0.032	0.022	-5.504	1	GM18502+
RP11-245J9.4	0.004	0.004	0.003	1.303	0.381	0.362	NoDiff
RP11-245J9.5	0.002	0.002	0.002	1.223	0.29	0.452	NoDiff
RP11-245J9.6	0.003	0.003	0.004	0.871	-0.199	0.357	NoDiff
RP11-246A10.1	0.002	0.003	0.002	1.518	0.602	0.548	NoDiff
RP11-254F7.2	0.003	0	0.007	0.069	-3.858	1	GM18502+
RP11-254F7.4	0.007	0.005	0.011	0.491	-1.027	0.93	NoDiff
RP11-255E6.6	0.001	0.002	0.001	3.293	1.719	1	GM12878+
RP11-259K5.2	0.007	0.007	0.007	1.082	0.114	0.085	NoDiff
RP11-259N19.1	0.025	0.022	0.029	0.774	-0.369	0.166	NoDiff
RP11-25O10.2	0.001	0.002	0.001	3.896	1.962	1	GM12878+
RP11-260M2.1	0.015	0.013	0.018	0.753	-0.41	0.236	NoDiff
RP11-266J6.2	0.004	0.003	0.005	0.734	-0.446	0.442	NoDiff
RP11-268J15.5	0.004	0.003	0.006	0.536	-0.9	0.774	NoDiff
RP11-269F19.2	0.006	0.007	0.005	1.437	0.523	0.447	NoDiff
RP11-276E17.2	0.002	0.001	0.003	0.226	-2.148	1	GM18502+
RP11-277A4.4	0.003	0.003	0.002	1.081	0.113	0.392	NoDiff
RP11-277B15.3	0.005	0.004	0.006	0.763	-0.39	0.397	NoDiff
RP11-27K13.3	0.018	0.024	0.009	2.633	1.397	0.98	GM12878+
RP11-284F21.10	0.027	0.028	0.025	1.113	0.155	0.005	NoDiff
RP11-284F21.7	0.003	0.003	0.002	1.399	0.484	0.457	NoDiff
RP11-284F21.8	0.001	0	0.002	0.124	-3.009	1	GM18502+
RP11-284F21.9	0.02	0.023	0.015	1.456	0.542	0.417	NoDiff
RP11-284N8.3	0.027	0.036	0.013	2.747	1.458	0.96	GM12878+
RP11-285F7.2	0.02	0.024	0.016	1.524	0.608	0.538	NoDiff
RP11-285J16.1	0.003	0.002	0.003	0.784	-0.35	0.342	NoDiff
RP11-287D1.2	0.009	0.007	0.011	0.668	-0.583	0.492	NoDiff
RP11-288L9.1	0.009	0.01	0.007	1.365	0.449	0.322	NoDiff
RP11-288L9.4	0.003	0.003	0.003	1.114	0.155	0.342	NoDiff
RP11-293A21.1	0.007	0.008	0.004	1.971	0.979	0.889	NoDiff
RP11-295G20.2	0.17	0.116	0.247	0.468	-1.095	1	GM18502+
RP11-296O14.3	0.039	0.043	0.035	1.22	0.287	0.09	NoDiff
RP11-297K8.2	0.003	0.003	0.003	0.828	-0.272	0.382	NoDiff
RP11-299J3.8	0.034	0.038	0.029	1.296	0.374	0.166	NoDiff
RP11-2H3.6	0.002	0.002	0.002	1.334	0.416	0.387	NoDiff
RP11-301O19.1	0.041	0.06	0.015	4.062	2.022	0.985	GM12878+
RP11-302F12.10	0.003	0.003	0.002	1.521	0.605	0.709	NoDiff
RP11-305K5.1	0.02	0.028	0.008	3.374	1.755	1	GM12878+
RP11-306I1.2	0.002	0.002	0.001	2.018	1.013	0.683	NoDiff
RP11-307C12.11	0.003	0.003	0.003	0.899	-0.153	0.327	NoDiff
RP11-307C12.12	0.035	0.035	0.036	0.971	-0.043	0	NoDiff
RP11-307C12.13	0.002	0.002	0.002	0.923	-0.115	0.256	NoDiff
RP11-312B8.1	0.003	0.003	0.002	1.441	0.527	0.487	NoDiff
RP11-315I20.1	0.019	0.022	0.015	1.498	0.583	0.497	NoDiff
RP11-316O14.1	0.003	0.004	0.002	2.333	1.222	0.809	NoDiff
RP11-317P15.4	0.008	0.007	0.01	0.743	-0.428	0.317	NoDiff
RP11-318C24.2	0.002	0.002	0.001	3.767	1.913	0.834	NoDiff
RP11-319G6.1	0.017	0.018	0.016	1.163	0.217	0.045	NoDiff
RP11-31F15.2	0.008	0.01	0.006	1.571	0.651	0.548	NoDiff
RP11-320M2.1	0.009	0.009	0.01	0.917	-0.125	0.06	NoDiff
RP11-326G21.1	0.01	0.013	0.005	2.487	1.315	0.99	GM12878+
RP11-329N22.1	0.012	0.011	0.012	0.942	-0.087	0.065	NoDiff
RP11-332H14.1	0.003	0.004	0.003	1.433	0.519	0.503	NoDiff
RP11-332H14.2	0.202	0.196	0.211	0.928	-0.109	0	NoDiff
RP11-334G22.1	0.007	0.006	0.009	0.743	-0.429	0.317	NoDiff
RP11-336K24.12	0.041	0.033	0.052	0.649	-0.624	0.678	NoDiff
RP11-337C18.8	0.04	0.042	0.037	1.133	0.18	0.005	NoDiff
RP11-338C15.3	0	0	0.001	0.602	-0.733	1	GM18502+
RP11-33O4.1	0.006	0.005	0.007	0.762	-0.393	0.307	NoDiff
RP11-342K6.1	0.012	0.013	0.011	1.176	0.234	0.126	NoDiff
RP11-342K6.4	0.005	0.006	0.004	1.574	0.654	0.538	NoDiff
RP11-342M1.3	0.018	0.016	0.02	0.81	-0.303	0.116	NoDiff
RP11-343H5.6	0.002	0.002	0.002	1.321	0.401	0.462	NoDiff
RP11-345P4.10	0.012	0.008	0.017	0.48	-1.058	0.96	GM18502+
RP11-345P4.7	0.005	0.006	0.004	1.564	0.645	0.598	NoDiff
RP11-345P4.9	0.05	0.052	0.048	1.102	0.14	0.085	NoDiff
RP11-347P5.1	0.057	0.072	0.035	2.044	1.031	1	GM12878+
RP11-348P10.2	0.011	0.013	0.009	1.486	0.571	0.482	NoDiff
RP11-34P13.7	0.002	0.002	0.002	1.141	0.191	0.402	NoDiff
RP11-350G8.5	0.007	0.006	0.008	0.73	-0.454	0.372	NoDiff
RP11-353K11.1	0.002	0.002	0.002	1.018	0.025	0.372	NoDiff
RP11-355B11.2	0.037	0.04	0.033	1.253	0.326	0.08	NoDiff
RP11-362K14.5	0.003	0.003	0.002	1.604	0.682	0.553	NoDiff
RP11-363D14.1	0.013	0.014	0.011	1.254	0.327	0.191	NoDiff
RP11-365H22.2	0.002	0.002	0.002	0.971	-0.042	0.271	NoDiff
RP11-366L5.1	0.003	0.003	0.003	0.905	-0.144	0.266	NoDiff
RP11-367J11.2	0.004	0.004	0.003	1.446	0.532	0.462	NoDiff
RP11-367J11.3	0.008	0.008	0.009	0.993	-0.01	0.07	NoDiff
RP11-378A13.2	0.018	0.02	0.015	1.335	0.417	0.256	NoDiff
RP11-378J18.8	0.005	0.004	0.005	0.754	-0.408	0.342	NoDiff
